product_id,product_name,category,subcategory,brand,unit_cost,unit_price,sku,is_active
PRD0024,Nova Fitness 24,Sports,Fitness,Nova,164.59,364.86,SKU-SPO-00024,True
PRD0025,Apex Phones 25,Electronics,Phones,Apex,95.11,116.31,SKU-ELE-00025,True
PRD0026,Lumina Kids 26,Apparel,Kids,Lumina,113.99,172.92,SKU-APP-00026,True
PRD0027,Forge Bedding 27,Home,Bedding,Forge,265.44,490.08,SKU-HOM-00027,True
PRD0028,Cascade Produce 28,Grocery,Produce,Cascade,313.99,621.82,SKU-GRO-00028,True
PRD0029,Orbit Outdoor 29,Sports,Outdoor,Orbit,163.74,354.91,SKU-SPO-00029,True
PRD0030,Pinnacle Headphones 30,Electronics,Headphones,Pinnacle,68.46,80.67,SKU-ELE-00030,True
PRD0031,Harbor Accessories 31,Apparel,Accessories,Harbor,37.84,77.68,SKU-APP-00031,True
PRD0032,Nova Furniture 32,Home,Furniture,Nova,185.83,251.17,SKU-HOM-00032,True
PRD0033,Apex Dairy 33,Grocery,Dairy,Apex,201.42,269.98,SKU-GRO-00033,True
PRD0034,Lumina Team Sports 34,Sports,Team Sports,Lumina,279.14,476.69,SKU-SPO-00034,False
PRD0035,Forge Tablets 35,Electronics,Tablets,Forge,153.65,234.61,SKU-ELE-00035,True
PRD0036,Cascade Men 36,Apparel,Men,Cascade,252.85,405.13,SKU-APP-00036,True
PRD0037,Orbit Kitchen 37,Home,Kitchen,Orbit,36.88,47.85,SKU-HOM-00037,True
PRD0038,Pinnacle Snacks 38,Grocery,Snacks,Pinnacle,384.84,879.64,SKU-GRO-00038,True
PRD0039,Harbor Footwear 39,Sports,Footwear,Harbor,280.48,415.77,SKU-SPO-00039,True
PRD0040,Nova Laptops 40,Electronics,Laptops,Nova,387.73,823.32,SKU-ELE-00040,True
PRD0041,Apex Women 41,Apparel,Women,Apex,287.32,491.81,SKU-APP-00041,True
PRD0042,Lumina Decor 42,Home,Decor,Lumina,110.35,140.2,SKU-HOM-00042,True
PRD0043,Forge Beverages 43,Grocery,Beverages,Forge,361.24,621.23,SKU-GRO-00043,True
PRD0044,Cascade Fitness 44,Sports,Fitness,Cascade,82.54,126.49,SKU-SPO-00044,True
PRD0045,Orbit Phones 45,Electronics,Phones,Orbit,232.53,318.79,SKU-ELE-00045,True
PRD0046,Pinnacle Kids 46,Apparel,Kids,Pinnacle,342.93,719.52,SKU-APP-00046,True
PRD0047,Harbor Bedding 47,Home,Bedding,Harbor,288.35,487.35,SKU-HOM-00047,True
PRD0048,Nova Produce 48,Grocery,Produce,Nova,251.67,473.17,SKU-GRO-00048,True
PRD0049,Apex Outdoor 49,Sports,Outdoor,Apex,260.64,327.25,SKU-SPO-00049,True
PRD0050,Lumina Headphones 50,Electronics,Headphones,Lumina,167.49,201.33,SKU-ELE-00050,True
PRD0051,Forge Accessories 51,Apparel,Accessories,Forge,198.61,310.29,SKU-APP-00051,False
PRD0052,Cascade Furniture 52,Home,Furniture,Cascade,59.52,76.14,SKU-HOM-00052,True
PRD0053,Orbit Dairy 53,Grocery,Dairy,Orbit,235.88,321.56,SKU-GRO-00053,True
PRD0054,Pinnacle Team Sports 54,Sports,Team Sports,Pinnacle,370.2,694.62,SKU-SPO-00054,True
PRD0055,Harbor Tablets 55,Electronics,Tablets,Harbor,140.05,264.5,SKU-ELE-00055,True
PRD0056,Nova Men 56,Apparel,Men,Nova,11.08,26.02,SKU-APP-00056,True
PRD0057,Apex Kitchen 57,Home,Kitchen,Apex,193.96,412.83,SKU-HOM-00057,True
PRD0058,Lumina Snacks 58,Grocery,Snacks,Lumina,34.93,61.42,SKU-GRO-00058,True
PRD0059,Forge Footwear 59,Sports,Footwear,Forge,197.3,458.19,SKU-SPO-00059,True
PRD0060,Cascade Laptops 60,Electronics,Laptops,Cascade,229.55,399.84,SKU-ELE-00060,True
PRD0061,Orbit Women 61,Apparel,Women,Orbit,108.26,169.37,SKU-APP-00061,True
PRD0062,Pinnacle Decor 62,Home,Decor,Pinnacle,209.23,355.41,SKU-HOM-00062,True
PRD0063,Harbor Beverages 63,Grocery,Beverages,Harbor,10.6,23.14,SKU-GRO-00063,True
PRD0064,Nova Fitness 64,Sports,Fitness,Nova,358.67,475.35,SKU-SPO-00064,True
PRD0065,Apex Phones 65,Electronics,Phones,Apex,222.51,286.09,SKU-ELE-00065,True
PRD0066,Lumina Kids 66,Apparel,Kids,Lumina,269.55,404.74,SKU-APP-00066,True
PRD0067,Forge Bedding 67,Home,Bedding,Forge,264.45,544.43,SKU-HOM-00067,True
PRD0068,Cascade Produce 68,Grocery,Produce,Cascade,307.92,395.58,SKU-GRO-00068,False
PRD0069,Orbit Outdoor 69,Sports,Outdoor,Orbit,366.57,527.04,SKU-SPO-00069,True
PRD0070,Pinnacle Headphones 70,Electronics,Headphones,Pinnacle,16.89,31.14,SKU-ELE-00070,True
PRD0071,Harbor Accessories 71,Apparel,Accessories,Harbor,149.63,327.28,SKU-APP-00071,True
PRD0072,Nova Furniture 72,Home,Furniture,Nova,323.68,500.55,SKU-HOM-00072,True
PRD0073,Apex Dairy 73,Grocery,Dairy,Apex,381.25,577.08,SKU-GRO-00073,True
PRD0074,Lumina Team Sports 74,Sports,Team Sports,Lumina,206.99,304.27,SKU-SPO-00074,True
PRD0075,Forge Tablets 75,Electronics,Tablets,Forge,374.55,507.8,SKU-ELE-00075,True
PRD0076,Cascade Men 76,Apparel,Men,Cascade,19.87,33.66,SKU-APP-00076,True
PRD0077,Orbit Kitchen 77,Home,Kitchen,Orbit,396.97,898.98,SKU-HOM-00077,True
PRD0078,Pinnacle Snacks 78,Grocery,Snacks,Pinnacle,299.95,678.93,SKU-GRO-00078,True
PRD0079,Harbor Footwear 79,Sports,Footwear,Harbor,357.59,643.15,SKU-SPO-00079,True
PRD0080,Nova Laptops 80,Electronics,Laptops,Nova,127.74,270.17,SKU-ELE-00080,True
PRD0081,Apex Women 81,Apparel,Women,Apex,265.34,429.07,SKU-APP-00081,True
PRD0082,Lumina Decor 82,Home,Decor,Lumina,39.6,82.51,SKU-HOM-00082,True
PRD0083,Forge Beverages 83,Grocery,Beverages,Forge,106.46,247.1,SKU-GRO-00083,True
PRD0084,Cascade Fitness 84,Sports,Fitness,Cascade,97.91,127.62,SKU-SPO-00084,True
PRD0085,Orbit Phones 85,Electronics,Phones,Orbit,332.78,446.46,SKU-ELE-00085,False
PRD0086,Pinnacle Kids 86,Apparel,Kids,Pinnacle,73.35,139.31,SKU-APP-00086,True
PRD0087,Harbor Bedding 87,Home,Bedding,Harbor,350.08,488.55,SKU-HOM-00087,True
PRD0088,Nova Produce 88,Grocery,Produce,Nova,125.51,266.3,SKU-GRO-00088,True
PRD0089,Apex Outdoor 89,Sports,Outdoor,Apex,388.79,690.46,SKU-SPO-00089,True
PRD0090,Lumina Headphones 90,Electronics,Headphones,Lumina,59.27,69.19,SKU-ELE-00090,True
PRD0091,Forge Accessories 91,Apparel,Accessories,Forge,93.4,122.8,SKU-APP-00091,True
PRD0092,Cascade Furniture 92,Home,Furniture,Cascade,271.71,353.85,SKU-HOM-00092,True
PRD0093,Orbit Dairy 93,Grocery,Dairy,Orbit,203.52,410.67,SKU-GRO-00093,True
PRD0094,Pinnacle Team Sports 94,Sports,Team Sports,Pinnacle,233.28,326.53,SKU-SPO-00094,True
PRD0095,Harbor Tablets 95,Electronics,Tablets,Harbor,322.04,658.33,SKU-ELE-00095,True
PRD0096,Nova Men 96,Apparel,Men,Nova,296.12,389.05,SKU-APP-00096,True
PRD0097,Apex Kitchen 97,Home,Kitchen,Apex,51.25,118.36,SKU-HOM-00097,True
PRD0098,Lumina Snacks 98,Grocery,Snacks,Lumina,160.24,244.56,SKU-GRO-00098,True
PRD0099,Forge Footwear 99,Sports,Footwear,Forge,196.46,388.71,SKU-SPO-00099,True
PRD0100,Cascade Laptops 100,Electronics,Laptops,Cascade,382.34,576.59,SKU-ELE-00100,True
PRD0101,Orbit Women 101,Apparel,Women,Orbit,370.07,437.08,SKU-APP-00101,True
PRD0102,Pinnacle Decor 102,Home,Decor,Pinnacle,222.97,433.11,SKU-HOM-00102,False
PRD0103,Harbor Beverages 103,Grocery,Beverages,Harbor,44.15,58.52,SKU-GRO-00103,True
PRD0104,Nova Fitness 104,Sports,Fitness,Nova,168.81,398.02,SKU-SPO-00104,True
PRD0105,Apex Phones 105,Electronics,Phones,Apex,239.22,554.1,SKU-ELE-00105,True
PRD0106,Lumina Kids 106,Apparel,Kids,Lumina,322.14,558.66,SKU-APP-00106,True
PRD0107,Forge Bedding 107,Home,Bedding,Forge,314.34,368.5,SKU-HOM-00107,True
PRD0108,Cascade Produce 108,Grocery,Produce,Cascade,45.44,99.37,SKU-GRO-00108,True
PRD0109,Orbit Outdoor 109,Sports,Outdoor,Orbit,319.13,459.8,SKU-SPO-00109,True
PRD0110,Pinnacle Headphones 110,Electronics,Headphones,Pinnacle,213.25,406.78,SKU-ELE-00110,True
PRD0111,Harbor Accessories 111,Apparel,Accessories,Harbor,347.36,661.33,SKU-APP-00111,True
PRD0112,Nova Furniture 112,Home,Furniture,Nova,166.2,268.87,SKU-HOM-00112,True
PRD0113,Apex Dairy 113,Grocery,Dairy,Apex,171.5,336.98,SKU-GRO-00113,True
PRD0114,Lumina Team Sports 114,Sports,Team Sports,Lumina,347.26,596.37,SKU-SPO-00114,True
PRD0115,Forge Tablets 115,Electronics,Tablets,Forge,100.64,145.51,SKU-ELE-00115,True
PRD0116,Cascade Men 116,Apparel,Men,Cascade,298.91,648.85,SKU-APP-00116,True
PRD0117,Orbit Kitchen 117,Home,Kitchen,Orbit,43.9,54.14,SKU-HOM-00117,True
PRD0118,Pinnacle Snacks 118,Grocery,Snacks,Pinnacle,238.58,317.96,SKU-GRO-00118,True
PRD0119,Harbor Footwear 119,Sports,Footwear,Harbor,330.22,507.85,SKU-SPO-00119,False
PRD0120,Nova Laptops 120,Electronics,Laptops,Nova,59.26,136.37,SKU-ELE-00120,True
